dataset,model,dropout,gamma,graph_source,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,NDCG@20,MAP@20,HitRate@20,Recall@20,NDCG@k,MAP@k,HitRate@k,Recall@k
ml-1m,EASE,0.0,0.0,,,135.62522435188293,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,0.12998526618389683,0.052330845697061174,0.6822225952660735,0.1536942111527436,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321
ml-1m,EDLAE,0.25,0.0,,,3.3423423767089844,0.11549840730447554,0.055771519792704345,0.5069665939231157,0.0898600007917909,0.13210584631018213,0.05363716616885162,0.6798724190028538,0.15472399598783496,0.11549840730447554,0.055771519792704345,0.5069665939231157,0.0898600007917909
ml-1m,EDLAE,0.5,0.0,,,3.253108024597168,0.11809646044263353,0.057555934901394816,0.5111633372502937,0.09043697788980211,0.1342511252403593,0.055055270649008364,0.6807117676682894,0.15539873456840655,0.11809646044263353,0.057555934901394816,0.5111633372502937,0.09043697788980211
ml-1m,EDLAE,0.75,0.0,,,3.2535955905914307,0.12071511666523221,0.05935050546278733,0.5108275977841196,0.0895158127836249,0.1358735941125423,0.05610409256357398,0.6830619439315091,0.15320319449003028,0.12071511666523221,0.05935050546278733,0.5108275977841196,0.0895158127836249
ml-1m,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,3.2522919178009033,0.12115032831548808,0.05957542650606833,0.5125062951149908,0.08977286469327408,0.13599539067025904,0.056170902231177246,0.6832298136645962,0.15294508901573017,0.12115032831548808,0.05957542650606833,0.5125062951149908,0.08977286469327408
ml-1m,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,3.231353759765625,0.12160583069528731,0.05981224408483355,0.5138492529796878,0.08974030790319,0.13587149153338748,0.056228390966563145,0.6798724190028538,0.15173136422884922,0.12160583069528731,0.05981224408483355,0.5138492529796878,0.08974030790319
ml-1m,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,3.2529218196868896,0.12179815845410899,0.05975027492422493,0.5136813832466006,0.08911104214232307,0.13549460106960645,0.05579384888809525,0.6768507638072856,0.1506102238979831,0.12179815845410899,0.05975027492422493,0.5136813832466006,0.08911104214232307
ml-1m,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,3.2543373107910156,0.12192017883719423,0.05970071996617397,0.5140171227127749,0.08703609555952178,0.13466714411708122,0.05527707356525633,0.669464495551452,0.14625746598441902,0.12192017883719423,0.05970071996617397,0.5140171227127749,0.08703609555952178
ml-1m,EDLAE-Laplacian,0.75,30.0,rp3beta,sym,3.2750813961029053,0.12032660628717852,0.05894374811706962,0.5069665939231157,0.0814146468060435,0.13152985038320703,0.05394415275707122,0.6575457445022662,0.136389425034525,0.12032660628717852,0.05894374811706962,0.5069665939231157,0.0814146468060435
ml-1m,EDLAE-Laplacian,0.75,75.0,rp3beta,sym,3.2653419971466064,0.11744616333429939,0.05799020991456662,0.49236192714453586,0.07391960551316519,0.12585642254275503,0.05188366066925872,0.6300151082759778,0.12313783205420822,0.11744616333429939,0.05799020991456662,0.49236192714453586,0.07391960551316519
ml-1m,EDLAE-Laplacian,0.75,100.0,rp3beta,sym,3.252788782119751,0.11471907345048107,0.056739591294087,0.4819540036931341,0.06996569137394433,0.12223239897329545,0.0502242074986705,0.6202786637569246,0.11728345984070028,0.11471907345048107,0.056739591294087,0.4819540036931341,0.06996569137394433
ml-1m,EDLAE-Laplacian,0.75,200.0,rp3beta,sym,3.2643027305603027,0.10996741507286731,0.054534299082324815,0.45794863186167534,0.0648598263235773,0.11468516617106943,0.04710679009260975,0.5885512842034581,0.10541692000933035,0.10996741507286731,0.054534299082324815,0.45794863186167534,0.0648598263235773
