dataset,lambda,rp3_beta,rp3_topK,graph_source,normalise,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,NDCG@20,MAP@20,HitRate@20,Recall@20,NDCG@k,MAP@k,HitRate@k,Recall@k
ml-1m,100,0.3,200,rp3beta,sym,0.1,134.27655816078186,0.10763507956007513,0.05038119617589448,0.5012590229981534,0.08658595156445797,0.12360337320368563,0.04890447667477488,0.6745005875440658,0.1462754047451054,0.10763507956007513,0.05038119617589448,0.5012590229981534,0.08658595156445797
ml-1m,100,0.3,200,rp3beta,sym,0.3,132.4739978313446,0.10880022378002857,0.05121423605969598,0.5020983716635891,0.08726735711699642,0.1250146567640842,0.04968078299961755,0.6766828940741985,0.14808878028335928,0.10880022378002857,0.05121423605969598,0.5020983716635891,0.08726735711699642
ml-1m,100,0.3,200,rp3beta,sym,1.0,134.34266352653503,0.11152019783433763,0.05300618053723644,0.504616417659896,0.08910510131401543,0.12763379467484368,0.05113617091479408,0.6778579822058083,0.15107815839869987,0.11152019783433763,0.05300618053723644,0.504616417659896,0.08910510131401543
ml-1m,100,0.3,200,rp3beta,sym,3.0,135.1233048439026,0.11455024553517347,0.05514574359609113,0.5057915057915058,0.08928103875113509,0.13118315096207447,0.052991238654863,0.6810475071344636,0.1545789270778132,0.11455024553517347,0.05514574359609113,0.5057915057915058,0.08928103875113509
ml-1m,100,0.3,200,rp3beta,sym,10.0,134.10317254066467,0.11811994006043551,0.05739430532594537,0.510156118851771,0.08939007485732949,0.1337111446683918,0.05451351234046693,0.6807117676682894,0.15443407754985464,0.11811994006043551,0.05739430532594537,0.510156118851771,0.08939007485732949
ml-1m,100,0.3,200,rp3beta,sym,30.0,134.66362118721008,0.12085937162479526,0.059028903623698066,0.5136813832466006,0.08837064974136889,0.1340421402611751,0.05491122937995873,0.6750041967433271,0.14854922658019465,0.12085937162479526,0.059028903623698066,0.5136813832466006,0.08837064974136889
ml-1m,100,0.3,200,rp3beta,sym,50.0,135.2590537071228,0.12101272122086583,0.059201964302156546,0.5104918583179453,0.08639470158000491,0.1339466123666307,0.05483496358924731,0.6709753231492362,0.1457897576635358,0.12101272122086583,0.059201964302156546,0.5104918583179453,0.08639470158000491
ml-1m,100,0.3,200,rp3beta,sym,75.0,132.79781889915466,0.12108063228724754,0.059235656913304055,0.5098203793855968,0.08416634811426206,0.1334246489694296,0.05476320976795478,0.6649320127580998,0.14212936727274264,0.12108063228724754,0.059235656913304055,0.5098203793855968,0.08416634811426206
ml-1m,100,0.3,200,rp3beta,sym,100.0,131.73282504081726,0.12079728293340034,0.05915548325504699,0.5094846399194225,0.08238905178350135,0.13270682321079638,0.05447301370448971,0.6629175759610543,0.1394020692120044,0.12079728293340034,0.05915548325504699,0.5094846399194225,0.08238905178350135
ml-1m,100,0.3,200,rp3beta,sym,200.0,131.99505853652954,0.11929215918741919,0.05869347404932291,0.5015947624643277,0.07739729299526275,0.12874111041615077,0.05299646083899302,0.6426053382575122,0.1290625843458746,0.11929215918741919,0.05869347404932291,0.5015947624643277,0.07739729299526275
